#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            50.000000           50.000000          100.000000          100.000000          200.000000          200.000000
  29.0000000   -1.5234118600e-14    1.9681483003e-13    1.4349183841e-16   -1.6561208021e-16   -1.7897889882e-17   -2.5744020724e-17
  30.0000000   -2.0847772191e-13   -6.6749252706e-13   -9.2750869695e-18    1.0724348256e-16   -1.7945147470e-18    4.0289998358e-17
  31.0000000   -4.9028013613e-14   -3.4104919520e-13   -2.9713616241e-16    1.6665957597e-16    1.6896149451e-17    1.2338423459e-17
  32.0000000    1.4701314755e-12    5.2000366755e-12   -1.9928935591e-16   -4.3831740776e-17    8.5045716733e-18    2.4001268249e-17
  33.0000000    2.3370528260e-12    2.5231320104e-12   -1.2591852624e-16   -6.5398634372e-17   -5.9016417542e-17    1.4454091083e-17
  34.0000000   -7.3253831159e-12   -2.7425982836e-11   -2.7337382210e-16    4.6297244863e-17   -5.0385461855e-17    6.9481385389e-17
  35.0000000   -1.2259939345e-11   -3.5473264745e-11   -1.7970391379e-16   -4.0644901779e-17   -1.4507761882e-16   -7.0650360881e-17
  36.0000000    2.5065505248e-11    7.5827303797e-11   -1.5607148165e-17    2.6267143561e-17   -1.3289285252e-16   -1.0501447615e-16
  37.0000000    2.3353443615e-11    1.4578798957e-10    1.0882635886e-16    8.9807533880e-17   -3.8899295493e-17    1.0585882342e-17
  38.0000000   -6.5604088854e-11   -8.6729329690e-11    4.3755780169e-17    3.1524651943e-16    1.9494830799e-17    4.6133577905e-17
  39.0000000   -2.9369703775e-11   -3.0496092852e-10    1.8508992271e-16   -7.7812446352e-17    4.9878424808e-17   -2.3468807282e-17
  40.0000000    1.3365858994e-10   -7.5450309611e-12    1.3457331782e-16   -2.9084329044e-16    4.0379560788e-17   -2.8294218613e-17
  41.0000000    5.2026628472e-11    3.9366671647e-10    1.4406707067e-16   -1.8096664221e-17    7.6635038045e-18   -4.8004444630e-17
  42.0000000   -1.4802468909e-10    6.0139570819e-11   -4.5345796350e-17   -3.8257037624e-17   -7.7432501171e-17    5.9545642874e-18
  43.0000000   -5.5659369161e-11   -3.0837860404e-10   -1.9475750091e-16   -1.5385126575e-16   -1.0983764434e-16   -5.5725161189e-17
  44.0000000    2.4809655969e-11    1.2256478806e-10   -9.0376822246e-17   -6.3291776572e-17   -1.0370474243e-16   -5.2160602497e-17
  45.0000000   -6.9001083948e-11    1.9141718564e-10    8.0457196649e-17    2.2887397971e-18   -4.3891539867e-17   -7.6245263011e-17
  46.0000000   -2.0850369843e-11   -4.9333962655e-10    1.3018538482e-16    8.6893727305e-17   -7.4577252901e-17   -8.6889321437e-17
  47.0000000    1.5826672415e-10   -3.5906128229e-10   -1.1469330699e-16    4.2465859032e-16   -5.6355794623e-17   -2.5357472211e-17
  48.0000000    2.4476430495e-10    4.3120681874e-10   -3.2768833381e-16    1.6856022861e-16    1.5557519717e-17    1.5897380521e-17
  49.0000000    2.1540689200e-11    6.4297753707e-10   -2.7948883958e-16   -2.4865121868e-16    2.3348340091e-18   -4.5457779943e-17
  50.0000000   -7.7892615013e-11    5.9415361646e-10   -1.0874390993e-16   -1.4434282922e-15    4.0245484431e-18    2.1837637017e-17
  51.0000000    1.4059063835e-10    3.2792107499e-10    4.1015045797e-16   -3.5112831116e-15    1.2009099838e-17   -5.1788403435e-17
